loss_dB,B4_n1e8,B1_n1e8,B4_n1e10,B1_n1e10,B4_n1e12,B1_n1e12,B4_asym,B1_asym
0.0,0.5143833835727656,0.49951042894440534,0.5588205265233618,0.5327841587380572,0.5674219034763924,0.5393577509589227,0.5707513861001452,0.5415242052978139
1.0,0.4013895223985438,0.39149122732928127,0.44228440861617335,0.42207344847308004,0.45035693458138937,0.42817924669588503,0.45336394098736515,0.43014796605468186
2.0,0.3122657094311974,0.306159017693143,0.3498836100403804,0.33418576869045735,0.3574195961017926,0.3399014786212251,0.3601197789321371,0.3416786745464556
3.0,0.24213230067145042,0.2385897540230092,0.27657007981095866,0.2644625476896069,0.2836062126529563,0.2697837188313946,0.2860533082884629,0.27140501839541836
4.0,0.1866894901188777,0.18536252823375718,0.21841586166092836,0.20914229782788749,0.22501982847956906,0.21411671422979275,0.22722021940981543,0.2155846691573438
5.0,0.14317016120533596,0.1434216037195758,0.17235735091146365,0.165271648456716,0.17848784562799772,0.1699024210181774,0.18048743577746268,0.1712449896853712
6.0,0.10920648187571819,0.110356394039289,0.13581941605312262,0.13049653878760786,0.1415629024601149,0.13480251030285872,0.14336626625102405,0.1360247303621587
7.0,0.08235110945512512,0.08437831842332998,0.10690388846027553,0.10289828047859628,0.11223799809454899,0.10692693827516578,0.11387987319018728,0.10804828394741989
8.0,0.06157548321059109,0.06403325958292062,0.08399510547653868,0.0810678627757831,0.08897010281557297,0.08479890562768161,0.09045799864178647,0.08582580265294196
9.0,0.04548578613104596,0.04815569605498785,0.06587860813348878,0.06376061722394091,0.07049535434855872,0.06722813989125412,0.0718533423778217,0.06817385831510595
10.0,0.03290804123131542,0.03567796065179483,0.051545840362264304,0.05007237990110627,0.05583796890717671,0.05328082088272002,0.05707513861001452,0.054152420529781385
11.0,0.02337241867853356,0.0260594825554764,0.040212431449429986,0.03924440230937426,0.04420375841819232,0.0422085470586361,0.04533639409873651,0.04301479660546818
12.0,0.016007449117963837,0.01868718367878005,0.031306269570441574,0.030677629480634995,0.03497413179477644,0.03341977908037384,0.03601197789321371,0.03416786745464557
13.0,0.01047779786004507,0.012954828779162457,0.024243696852471526,0.023913284503447305,0.0276516288628283,0.026445040769237746,0.028605330828846295,0.027140501839541836
14.0,0.006403087137547161,0.008656411331471738,0.01869598454707523,0.018569541353265388,0.021842679249050354,0.02091699481895896,0.02272202194098155,0.02155846691573439
15.0,0.0034749805569163116,0.005379924263172054,0.014355593319255636,0.0143709402482658,0.0172371571416969,0.016528101432948847,0.018048743577746263,0.017124498968537117
16.0,0.001366172856287195,0.002965975133005566,0.01093029465870277,0.011051872352141686,0.013583363655862796,0.01305037775400024,0.014336626625102399,0.013602473036215866
