loss_dB,B3_n1e8,B3_n1e10,B3_n1e12
0.0,0.49951042894440534,0.5327841587380573,0.5393577509589228
1.0,0.39149122732928143,0.42207344847308004,0.42817924669588514
2.0,0.30615901769314313,0.33418576869045746,0.33990147862122516
3.0,0.23858975402300928,0.264462547689607,0.2697837188313947
4.0,0.1853625282337572,0.20914229782788749,0.2141167142297928
5.0,0.14342160371957588,0.165271648456716,0.16990242101817746
6.0,0.11035639403928904,0.1304965387876079,0.13480251030285875
7.0,0.08437831842333002,0.10289828047859631,0.1069269382751658
8.0,0.06403325958292067,0.08106786277578312,0.08479890562768161
9.0,0.04815569605498785,0.06376061722394091,0.06722813989125413
10.0,0.03567796065179484,0.05007237990110629,0.05328082088272002
11.0,0.02605948255547641,0.039244402309374274,0.042208547058636116
12.0,0.01868718367878006,0.030677629480635,0.03341977908037385
13.0,0.012954828779162457,0.023913284503447305,0.026445040769237756
14.0,0.008656411331471738,0.01856954135326539,0.020916994818958968
15.0,0.0053799242631720565,0.014370940248265802,0.01652810143294885
16.0,0.002965975133005568,0.011051872352141692,0.013050377754000243
17.0,0.0012321951203460677,0.008444194960475052,0.010293664551323637
18.0,1.4230207359283523e-05,0.00641792211230955,0.00810926130108436
19.0,0.0,0.004816981218799785,0.006378536745900143
20.0,0.0,0.0035759687980843873,0.005007680624935968
21.0,0.0,0.0026127637133702575,0.0039259987725774785
22.0,0.0,0.0018682771478109226,0.0030679717552248016
23.0,0.0,0.0013001808002496356,0.0023911398788716795
24.0,0.0,0.0008641861523848288,0.001858168166848752
25.0,0.0,0.0005401840185478957,0.0014370536578457833
26.0,0.0,0.00029625263393290736,0.0011051468682333715
27.0,0.0,0.00012327185199204017,0.0008451295339330058
28.0,0.0,1.4753606933622156e-06,0.0006418833038826547
29.0,0.0,0.0,0.0004814607990377436
30.0,0.0,0.0,0.0003577446182232778
31.0,0.0,0.0,0.000261424109751865
32.0,0.0,0.0,0.00018636224194475506
33.0,0.0,0.0,0.00013013705342425211
34.0,0.0,0.0,8.612458620393396e-05
35.0,0.0,0.0,5.4036890234474675e-05
36.0,0.0,0.0,2.9658312175857623e-05
37.0,0.0,0.0,1.2207537455620553e-05
38.0,0.0,0.0,2.788832575277984e-08
39.0,0.0,0.0,0.0
40.0,0.0,0.0,0.0
