distance_km,B4_selected,B1_global,PLOB
0.0,0.7711966937534858,0.7640274872299165,
4.0,0.5389536225505388,0.5153888165271459,2.5714396781031423
8.0,0.38453224451512397,0.3411578670141097,1.6982062162803853
12.0,0.29085707304895664,0.21799641670921757,1.2359594280909443
16.0,0.226827248931282,0.13111961522181842,0.9396207787908331
20.0,0.17688641875738914,0.0703596857961991,0.7324214653612657
24.0,0.14225423904293827,0.02852286884531231,0.5802046745337046
28.0,0.11441308741673559,0.0005650772274127525,0.4647888251683342
32.0,0.09202193608309325,0.0,0.3753595990511409
36.0,0.07398781370716624,0.0,0.30497912608727645
40.0,0.059475253242689735,0.0,0.2489465120155854
44.0,0.04821995812800988,0.0,0.20394333538327558
48.0,0.039456559141024035,0.0,0.16755198533086996
52.0,0.03227163642683104,0.0,0.13796698076377523
56.0,0.026379042189002458,0.0,0.11381316883981789
60.0,0.02155231196551316,0.0,0.09402645646885728
64.0,0.01759144104873958,0.0,0.0777728351581927
68.0,0.014349852319906587,0.0,0.06439177837654635
72.0,0.011694615755068846,0.0,0.05335567493221376
76.0,0.009520820996252627,0.0,0.04424012293576276
80.0,0.007742640745666796,0.0,0.03670176875519015
84.0,0.006285660118108566,0.0,0.03046150702161515
88.0,0.0050969419006042715,0.0,0.025291566993697022
92.0,0.004125563742340488,0.0,0.02100546696798202
96.0,0.003331435755781126,0.0,0.017450119130355397
100.0,0.002682920394103157,0.0,0.014499569695115089
104.0,0.0021556177643421845,0.0,0.012049998199128043
108.0,0.0017262513918090408,0.0,0.010015697043076555
112.0,0.0013749284892866668,0.0,0.008325821531191192
116.0,0.0010916095909349359,0.0,0.006921750642618068
120.0,0.0008623847504800801,0.0,0.005754935428265224
124.0,0.0006745875728257701,0.0,0.004785139190590721
128.0,0.0005247198923146665,0.0,0.003978994140499169
132.0,0.0004047810777109996,0.0,0.0033088148792044174
136.0,0.00030660110098549876,0.0,0.0027516211147252637
140.0,0.0002296272368530851,0.0,0.0022883314089207525
144.0,0.0001688812607745335,0.0,0.0019030971204175371
148.0,0.00011999908917950913,0.0,0.0015827515409568126
152.0,8.219304206034314e-05,0.0,0.0013163538709580007
156.0,5.305974617758348e-05,0.0,0.001094811407835372
160.0,3.110924836989001e-05,0.0,0.0009105663263677328
164.0,1.4232711363012153e-05,0.0,0.0007573358654667564
168.0,2.20386023861102e-06,0.0,0.0006298967163912662
172.0,0.0,0.0,0.0005239060242189044
176.0,0.0,0.0,0.0004357527379986269
180.0,0.0,0.0,0.00036243413137631707
184.0,0.0,0.0,0.00030145320904098876
188.0,0.0,0.0,0.00025073345063992414
192.0,0.0,0.0,0.00020854795145423363
196.0,0.0,0.0,0.00017346052124573726
200.0,0.0,0.0,0.00014427671804501932
204.0,0.0,0.0,0.0001200031375584479
208.0,0.0,0.0,9.981356383340191e-05
212.0,0.0,0.0,8.302082309032558e-05
216.0,0.0,0.0,6.905337862592085e-05
220.0,0.0,0.0,5.7435867359160794e-05
