km,unified,two_step
0,0.16415693069830845,0.16527894341531021
10,0.10020145435421819,0.10025705054833221
20,0.06017652845505743,0.06024854008288825
30,0.03581994025918898,0.035486867099187414
40,0.02095119304146629,0.02031501459368746
50,0.01148629822968236,0.011143594254981123
60,0.006162036111443134,0.005752637278592633
70,0.00285280874890621,0.002615780758688376
80,0.0008235828488512134,0.0007882519613482951
90,1.2431467702619462e-05,1.0343923710657592e-05
