loss_dB,B1,B3_equalpop,B4_proposed,B5_oracle
0.0,0.5567569476585192,0.5567569476585191,0.5724761909013237,0.5990109238375877
2.0,0.3508698277286575,0.3508698277286573,0.3606820948698809,0.3769564076187122
4.0,0.22102948412645207,0.22102948412645199,0.227136364664653,0.23703348407256777
6.0,0.13915798108148122,0.1391579810814812,0.14294417173375282,0.14889449863772475
8.0,0.08754210024930054,0.08754210024930051,0.08987777501037732,0.0934007002578307
10.0,0.05500774815331239,0.05500774815331239,0.05643915605848601,0.05848291495549473
12.0,0.03450628832177439,0.03450628832177439,0.035375865635148,0.03652495005024138
14.0,0.021598411405446206,0.021598411405446206,0.022114245232040433,0.02272892115460919
16.0,0.013478106160497346,0.013478106160497343,0.013774374941600305,0.014070694963026268
18.0,0.008376143482340429,0.008376143482340427,0.008538200962286403,0.008644650828511732
20.0,0.0051738697415395895,0.0051738697415395895,0.005257132381855844,0.005250387821880925
22.0,0.0031711421110270483,0.003171142111027047,0.003204419091582264,0.0031362228745728167

amplitude_A,gain_B4_minus_B1,gain_B5_minus_B1,variance
0.0,0.0,0.0,0.0
0.09999999999999999,6.839665814536988e-06,3.568597073151658e-05,8.999999999999999e-06
0.19999999999999998,7.438228520970092e-05,0.00021927665199229784,3.5999999999999994e-05
0.3,0.00020636212997120207,0.0005558351498870656,8.099999999999998e-05
0.39999999999999997,0.0004031724616426202,0.001046183332618092,0.00014399999999999998
0.49999999999999994,0.0006636967915504,0.0017048337172302919,0.00022499999999999994
0.6,0.0009899950941784225,0.0025460951753687178,0.00032399999999999996
0.7,0.001347902284206115,0.003019034606196111,0.0004317406770833332
0.7999999999999999,0.0016576216580534986,0.0038289738646620497,0.0005292267881944443
0.8999999999999999,0.002005659132938417,0.00481837295160871,0.0006391573437499998
0.9999999999999999,0.002335674761076781,0.005858600008530168,0.0007517225540123454
1.0999999999999999,0.002598023493008944,0.006530446715770369,0.0008588512577160491
1.2,0.0028749832468070446,0.0072564487248743675,0.0009748379861111108
1.2999999999999998,0.003166120522506019,0.00804613165053196,0.0010996827391975307
1.4,0.00347109833533335,0.00892090742403305,0.0012333855169753083
