km,B4_decoy_geat,B1_decoy_geat
0,0.018698251757358415,0.018698251757358415
10,0.004741782695487914,0.004741782695487914
20,0.0010959526944735092,0.0010959526944735092
30,0.0,0.0
40,0.0,0.0
50,0.0,0.0
60,0.0,0.0
70,0.0,0.0
