distance_km,B4,B1,PLOB
0.0,0.05503905354726126,0.052778261790179484,1.3219280948873622
5.0,0.03753918818589667,0.03578486929908129,0.934005738270045
10.0,0.02511133508930644,0.023742556392755517,0.6863464350436632
15.0,0.016921174718544808,0.01593072925661085,0.5160420483985919
20.0,0.011188776850947572,0.010405571817516016,0.3937744100150101
25.0,0.007117922263648443,0.006595132003203192,0.3035372262360567
30.0,0.004562784907231608,0.004140309557289354,0.23567624379999455
35.0,0.002696711952531626,0.002350367062429144,0.18395862129670165
40.0,0.0015231027793286267,0.0013256745542412128,0.14415950826499854
45.0,0.0007970473605044784,0.0006297443399853954,0.11331021312081052
50.0,0.0003029062943348163,0.0002385995179450383,0.08926733809708741
55.0,0.00010605359953454053,4.9992304034113395e-05,0.0704509016806191
60.0,0.0,0.0,0.05567742292687625
65.0,0.0,0.0,0.04404929886357667
70.0,0.0,0.0,0.034879081313044104
75.0,0.0,0.0,0.0276362311466849
80.0,0.0,0.0,0.021908831942540577
85.0,0.0,0.0,0.017375545366630465
90.0,0.0,0.0,0.013784751746311668
95.0,0.0,0.0,0.010938838443793742
100.0,0.0,0.0,0.008682243099800882
105.0,0.0,0.0,0.0068922777001680586
110.0,0.0,0.0,0.005472038607984997
115.0,0.0,0.0,0.004344898120573435
120.0,0.0,0.0,0.0034502057415604845
125.0,0.0,0.0,0.002739921519484078
130.0,0.0,0.0,0.0021759718092222223
135.0,0.0,0.0,0.0017281676791225486
140.0,0.0,0.0,0.0013725632427842244
145.0,0.0,0.0,0.001090159049598987
150.0,0.0,0.0,0.0008658768135616116
